Timestamp                       Thread     Type        Activity             PID    TTL  
2026-09-18 04:09:43.657007+0300 0xd6       Default     0x0                  0      0    kernel: (IOThunderboltFamily) 5539239us IOThunderboltFamily (build 00:02:39 Jan  9 2024)
2026-09-18 04:09:43.661451+0300 0xd9       Default     0x0                  0      0    kernel: (AppleThunderboltNHI) 5543684us AppleThunderboltGenericHAL::probe
2026-09-18 04:09:43.661454+0300 0xd9       Default     0x0                  0      0    kernel: (AppleThunderboltNHI) 5543684us AppleThunderboltGenericHAL::probe
2026-09-18 04:09:43.661470+0300 0xd9       Default     0x0                  0      0    kernel: (AppleThunderboltNHI) 5543703us AppleThunderboltGenericHAL(0)::start (build 00:03:05 Jan  9 2024)
2026-09-18 04:09:43.661472+0300 0xd9       Default     0x0                  0      0    kernel: (AppleThunderboltNHI) 5543703us AppleThunderboltGenericHAL(0)::start (build 00:03:05 Jan  9 2024)
2026-09-18 04:09:43.666912+0300 0xdf       Default     0x0                  0      0    kernel: (AppleThunderboltNHI) 5549145us AppleThunderboltGenericHAL::probe
2026-09-18 04:09:43.666914+0300 0xdf       Default     0x0                  0      0    kernel: (AppleThunderboltNHI) 5549145us AppleThunderboltGenericHAL::probe
2026-09-18 04:09:43.666928+0300 0xdf       Default     0x0                  0      0    kernel: (AppleThunderboltNHI) 5549161us AppleThunderboltGenericHAL(0)::start (build 00:03:05 Jan  9 2024)
2026-09-18 04:09:43.666930+0300 0xdf       Default     0x0                  0      0    kernel: (AppleThunderboltNHI) 5549161us AppleThunderboltGenericHAL(0)::start (build 00:03:05 Jan  9 2024)
2026-09-18 04:09:43.674273+0300 0xe5       Default     0x0                  0      0    kernel: (AppleDisplayCrossbar) IOAV[8] AppleATCDPINAdapterPort(atc0-dpin0)<0x10000031e>::handleStart: _debugEnabledConfiguration=NO _panicOnDeactivateTimeout=NO
