# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x15ef8086
0x0001    1 0x00 0x00 0x0608020a
0x0002    2 0x00 0x00 0x010e0102
0x0003    3 0x00 0x00 0x80a00008
0x0004    4 0x00 0x00 0x00800000
0x0005    5 0x00 0x00 0x00004809
0x0006    6 0x00 0x00 0x00000000
0x0007    7 0x00 0x00 0x00000000
0x0008    8 0x00 0x00 0x00000000
0x000a    0 0x03 0x00 0x00000339
0x000b    1 0x03 0x00 0x40110005
0x000c    2 0x03 0x00 0x00000000
0x000d    3 0x03 0x00 0x00000000
0x000e    4 0x03 0x00 0xffffffff
0x000f    5 0x03 0x00 0x00000000
0x0010    6 0x03 0x00 0x000009c4
0x0011    7 0x03 0x00 0x00c80002
0x0039    0 0x04 0x00 0xc009044f
0x003a    1 0x04 0x00 0x00004008
0x003b    2 0x04 0x00 0x000fff40
0x003c    3 0x04 0x00 0x31290005
0x003d    4 0x04 0x00 0x00c0a334
0x003e    5 0x04 0x00 0x05402334
0x003f    6 0x04 0x00 0x04000204
0x0040    7 0x04 0x00 0x00402334
0x0041    8 0x04 0x00 0x00000000
0x004f    0 0x05 0x01 0x40010500
0x0050    1 0x05 0x01 0x00000000
0x0051    2 0x05 0x01 0x00000000
0x0052    3 0x05 0x01 0x00000000
0x0053    4 0x05 0x01 0x00000000
0x0054    5 0x05 0x01 0x00000000
0x0055    6 0x05 0x01 0x00000000
0x0056    7 0x05 0x01 0x00000000
0x0057    8 0x05 0x01 0x00000000
0x0058    9 0x05 0x01 0x00000000
0x0059   10 0x05 0x01 0x00000000
0x005a   11 0x05 0x01 0x00000000
0x005b   12 0x05 0x01 0x00000000
0x005c   13 0x05 0x01 0x00000000
0x005d   14 0x05 0x01 0x00000000
0x005e   15 0x05 0x01 0x00000000
0x005f   16 0x05 0x01 0x00000000
0x0060   17 0x05 0x01 0x00000000
0x0061   18 0x05 0x01 0x00000000
0x0062   19 0x05 0x01 0x00000000
0x0063   20 0x05 0x01 0x00000000
0x0064   21 0x05 0x01 0x00000000
0x0065   22 0x05 0x01 0x00000000
0x0066   23 0x05 0x01 0x00000000
0x0067   24 0x05 0x01 0x00000000
0x0068   25 0x05 0x01 0x00000000
0x0069   26 0x05 0x01 0x00000000
0x006a   27 0x05 0x01 0x00000000
0x006b   28 0x05 0x01 0x00000000
0x006c   29 0x05 0x01 0x00000000
0x006d   30 0x05 0x01 0x00000000
0x006e   31 0x05 0x01 0x00000000
0x006f   32 0x05 0x01 0x00000000
0x0070   33 0x05 0x01 0x00000000
0x0071   34 0x05 0x01 0x00000000
0x0072   35 0x05 0x01 0x00000000
0x0073   36 0x05 0x01 0x00000000
0x0074   37 0x05 0x01 0x00000000
0x0075   38 0x05 0x01 0x00000000
0x0076   39 0x05 0x01 0x00000000
0x0077   40 0x05 0x01 0x00000000
0x0078   41 0x05 0x01 0x00000000
0x0079   42 0x05 0x01 0x00000000
0x007a   43 0x05 0x01 0x00000000
0x007b   44 0x05 0x01 0x00000000
0x007c   45 0x05 0x01 0x00000000
0x007d   46 0x05 0x01 0x00000000
0x007e   47 0x05 0x01 0x00000000
0x007f   48 0x05 0x01 0x0000000a
0x0080   49 0x05 0x01 0x06410641
0x0081   50 0x05 0x01 0x00000000
0x0082   51 0x05 0x01 0x00000000
0x0083   52 0x05 0x01 0x00000000
0x0084   53 0x05 0x01 0x00000000
0x0085   54 0x05 0x01 0x00000000
0x0086   55 0x05 0x01 0x00000000
0x0087   56 0x05 0x01 0x00000000
0x0088   57 0x05 0x01 0x00000000
0x0089   58 0x05 0x01 0x00000000
0x008a   59 0x05 0x01 0x00000000
0x008b   60 0x05 0x01 0x00000000
0x008c   61 0x05 0x01 0x00000000
0x008d   62 0x05 0x01 0x00000000
0x008e   63 0x05 0x01 0x00000000
